Date,Open,High,Low,Close,Adj Close,Volume
2014-11-28,2390.209961,2403.320068,2384.689941,2396.159912,2396.159912,0
2014-12-01,2387.370117,2391.040039,2362.800049,2368.629883,2368.629883,0
2014-12-02,2367.300049,2381.370117,2362.639893,2378.899902,2378.899902,0
2014-12-03,2381.120117,2403.520020,2377.399902,2400.229980,2400.229980,0
2014-12-04,2400.550049,2409.340088,2386.969971,2401.580078,2401.580078,0
2014-12-05,2404.570068,2411.060059,2400.800049,2411.060059,2411.060059,0
2014-12-08,2401.080078,2412.739990,2370.580078,2384.719971,2384.719971,0
2014-12-09,2358.770020,2394.260010,2353.649902,2382.419922,2382.419922,0
2014-12-10,2381.679932,2392.419922,2345.929932,2349.159912,2349.159912,0
2014-12-11,2362.840088,2386.879883,2356.489990,2361.149902,2361.149902,0
2014-12-12,2340.979980,2360.780029,2328.979980,2328.979980,2328.979980,0
2014-12-15,2339.629883,2354.110107,2302.669922,2313.209961,2313.209961,0
2014-12-16,2298.679932,2337.989990,2287.790039,2288.239990,2288.239990,0
2014-12-17,2290.260010,2335.800049,2283.550049,2330.219971,2330.219971,0
2014-12-18,2365.199951,2382.090088,2355.719971,2382.090088,2382.090088,0
2014-12-19,2386.280029,2394.250000,2375.020020,2385.290039,2385.290039,0
2014-12-22,2393.010010,2412.340088,2392.939941,2412.139893,2412.139893,0
2014-12-23,2422.949951,2426.260010,2412.830078,2413.030029,2413.030029,0
2014-12-24,2419.010010,2422.169922,2412.370117,2413.979980,2413.979980,0
2014-12-26,2419.100098,2423.639893,2414.989990,2416.439941,2416.439941,0
2014-12-29,2412.800049,2413.879883,2404.030029,2405.169922,2405.169922,0
2014-12-30,2397.270020,2403.290039,2387.070068,2390.719971,2390.719971,0
2014-12-31,2399.080078,2405.620117,2366.239990,2367.850098,2367.850098,0
2015-01-02,2379.030029,2387.810059,2347.270020,2365.379883,2365.379883,0
2015-01-05,2354.899902,2359.199951,2321.570068,2327.110107,2327.110107,0
2015-01-06,2330.570068,2330.610107,2274.290039,2283.379883,2283.379883,0
2015-01-07,2291.590088,2310.479980,2284.139893,2300.439941,2300.439941,0
2015-01-08,2320.290039,2359.810059,2320.290039,2354.939941,2354.939941,0
2015-01-09,2359.959961,2368.659912,2331.979980,2350.070068,2350.070068,0
2015-01-12,2341.580078,2343.459961,2305.159912,2314.399902,2314.399902,0
2015-01-13,2334.189941,2359.209961,2282.300049,2298.739990,2298.739990,0
2015-01-14,2276.360107,2300.100098,2263.550049,2285.530029,2285.530029,0
2015-01-15,2295.800049,2302.620117,2255.919922,2257.669922,2257.669922,0
2015-01-16,2254.760010,2294.389893,2248.320068,2292.429932,2292.429932,0
2015-01-20,2304.389893,2314.560059,2279.770020,2306.419922,2306.419922,0
2015-01-21,2296.330078,2325.209961,2290.080078,2317.679932,2317.679932,0
2015-01-22,2315.070068,2347.860107,2285.600098,2344.620117,2344.620117,0
2015-01-23,2335.300049,2351.489990,2330.949951,2343.300049,2343.300049,0
2015-01-26,2331.139893,2336.750000,2315.040039,2333.050049,2333.050049,0
2015-01-27,2298.129883,2301.409912,2265.649902,2278.090088,2278.090088,0
2015-01-28,2306.610107,2310.860107,2254.949951,2254.949951,2254.949951,0
2015-01-29,2248.550049,2276.399902,2232.139893,2271.709961,2271.709961,0
2015-01-30,2252.969971,2270.010010,2227.060059,2229.540039,2229.540039,0
2015-02-02,2236.370117,2246.610107,2194.159912,2243.149902,2243.149902,0
2015-02-03,2251.260010,2280.959961,2248.739990,2280.500000,2280.500000,0
2015-02-04,2278.399902,2301.969971,2278.360107,2286.830078,2286.830078,0
2015-02-05,2293.479980,2304.169922,2284.989990,2303.320068,2303.320068,0
2015-02-06,2304.129883,2318.590088,2284.000000,2290.919922,2290.919922,0
2015-02-09,2281.469971,2291.090088,2275.120117,2281.179932,2281.179932,0
2015-02-10,2296.969971,2329.040039,2289.080078,2327.520020,2327.520020,0
2015-02-11,2326.889893,2341.060059,2323.850098,2334.590088,2334.590088,0
2015-02-12,2344.550049,2372.909912,2343.739990,2372.830078,2372.830078,0
